25/05/2017
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
500002	ABB India Limited	2119.08375
500003	Aegis Logistics Ltd.	3340.00000
500005	Akar Laminators Ltd.	171.80000
500008	Amara Raja Batteries Ltd	1708.12500
500009	Ambalal Sarabhai Enterprise Lt	767.14581
500010	Housing Development Finance Co	15888.71147
500012	Andhra Petrochemicals Ltd.	849.71600
500013	Ansal Properties & Infrastruct	1574.02276
500014	Apple Finance Ltd	556.73122
500016	Aruna Hotels Ltd.	90.00000
500020	Bombay Dyeing & Mfg. Co. Ltd.	2065.34900
500023	Asian Hotels (North) Limited	194.53229
500024	Assam Company (India) Limited	3097.60963
500025	Assambrook Limited	64.61242
500027	Atul Limited.	296.61733
500028	ATV Projects India Ltd	531.17425
500029	Autolite (India) Ltd.	105.81241
500030	Autoriders Finance Ltd.	131.07000
500031	Bajaj Electricals Ltd.	1012.90176
500032	Bajaj Hindusthan Sugar Limited	11335.59942
500033	Force Motors Limited	130.32900
500034	Bajaj Finance Limited	5498.51090
500036	Balaji Industrial Corporation 	356.80000
500038	Balrampur Chini Mills Ltd.	2350.10467
500039	Banco Products (India) Ltd.	715.18650
500040	Century Textiles & Industries 	1116.95680
500041	Bannari Amman Sugars Ltd.	125.39700
500042	BASF India Ltd	432.85640
500043	Bata India Limited	1285.27540
500045	Bellary Steel & Alloys Ltd	2284.52000
500046	Best & Crompton Engineering Lt	1238.40515
500048	BEML Ltd	416.44500
500049	Bharat Electronics Ltd.	22336.27930
500051	Bhagawati Gas Limited	167.42166
500052	Bhansali Engineering Polymers 	1659.05640
500055	Bhushan Steel Limited	2265.14746
500058	Bihar Sponge Iron Ltd	902.05403
500059	Binani Industries Limited	313.66175
500060	Birla Cable Limited	300.00000
500067	Blue Star Ltd	955.93788
500068	Disa India Ltd.	14.54205
500069	BNK Capital Markets Ltd.	100.00000
500074	BPL Ltd.	488.84818
500078	Camphor & Allied Products Ltd.	51.33674
500080	Cauvery Software Engg. Systems	326.30000
500083	Century Extrusions Ltd.	800.00000
500084	CESC Limited	1325.57043
500085	Chambal Fertilisers & Chemical	4161.70921
500086	Exide Industries Ltd.	8500.00000
500087	Cipla Ltd.	8045.49675
500089	DIC India Ltd	91.78977
500091	Core Healthcare ltd.	357.97228
500092	CRISIL Ltd.	713.57108
500093	CG Power and Industrial Soluti	6267.46142
500096	Dabur India Ltd.	17615.20510
500097	Dalmia Bharat Sugar and Indust	809.39303
500100	Daewoo Motors India Ltd.	5111.80000
500101	Arvind Ltd.	2585.17069
500102	Ballarpur Industries Ltd.	6555.23839
500103	Bharat Heavy Electricals Ltd.	24476.00000
500104	Hindustan Petroleum Corporatio	10158.81750
500106	IFCI Ltd.	16620.37235
500108	Mahanagar Telephone Nigam Ltd.	6300.00000
500109	Mangalore Refinery & Petrochem	17525.98777
500110	Chennai Petroleum Corporation 	1489.11400
500111	Reliance Capital Limited	2526.32800
500112	State Bank Of India	81098.57182
500113	Steel Authority of India Ltd.	41300.92154
500114	Titan Company Limited	8877.86160
500116	IDBI Bank Ltd	20588.15081
500117	DCW Ltd.	2196.81407
500119	Dhampur Sugar Mills Ltd.	663.87590
500120	Diamines & Chemicals Ltd.	97.83240
500123	Elantas Beck India Ltd	79.27682
500124	Dr. Reddy's Laboratories Ltd.	1656.75732
500125	E.I.D. Parry (India) Ltd.	1758.70898
500126	Merck Ltd.	165.99382
500128	Electrosteel Castings Ltd.	3569.55322
500132	Empee Sugars & Chemicals Ltd.	419.72900
500133	Esab India Ltd.	153.93020
500135	Essel Propack ltd.	1571.58618
500136	Ester Industries Ltd.	833.93759
500138	Uniworth Textiles Ltd.	228.25000
500139	Fedders Lloyd Corporation Ltd.	339.69700
500141	Ferro Alloys Corporation Ltd.	1852.68241
500142	FGP Ltd	118.95051
500143	P.H. Capital Ltd.	30.00100
500144	Finolex Cables Ltd.	1529.39345
500145	First Leasing Co. of India Ltd	227.90606
500147	CMI FPE Ltd	49.37813
500148	Uflex Limited	722.11486
500150	Foseco India Ltd	63.86459
500151	Golden Tobacco Ltd.	176.08802
500153	Ganesh Benzoplast Ltd.	517.84293
500154	Futuristic Offshore Services a	173.15700
500155	Garden Silk Mills Ltd.	420.82525
500159	Metroglobal Limited	163.26742
500160	GTL Ltd	1572.96781
500162	Parrys  Sugar  Industries Limi	199.61707
500163	Godfrey Phillips India Ltd.	519.93920
500164	Godrej Industries Ltd.	3361.39786
500165	Kansai Nerolac Paints	5389.19720
500166	Goodricke Group Ltd.	216.00000
500167	Good Value Marketing Co. Ltd.	210.00000
500168	Goodyear India Ltd.	230.66507
500170	GTN Industries Limited	175.40378
500171	GHCL Ltd.	994.45848
500173	Gujarat Fluorochemicals Ltd.	1098.50000
500174	Gujarat Lease Financing Limite	271.25767
500177	Hanil Era Textiles Ltd.	409.66250
500178	Harig Crankshafts Ltd.	3943.89790
500179	HCL Infosystems Ltd	2229.19629
500180	HDFC Bank Ltd.	25649.09117
500182	Hero MotoCorp Limited	1996.96838
500183	Himachal Futuristic Communicat	12393.77194
500184	Himadri Speciality Chemical Lt	4184.07867
500185	Hindustan Construction Co. Ltd	10107.03635
500186	Hindustan Oil Exploration Co. 	1304.93289
500187	HSIL Limited	722.96396
500188	Hindustan Zinc Ltd.	42253.19000
500189	Hinduja Ventures Ltd	205.55503
500191	HMT Limited	7578.50140
500192	Prag Bosimi Synthetics Ltd.	743.82960
500193	Hotel Leela Venture Ltd.	4666.08307
500195	Hotline Glass Ltd.	800.00000
500199	IG Petrochemicals Ltd	307.94850
500201	India Glycols Ltd	309.61500
500202	India Lease Devl. Ltd.	147.00291
500206	Margo Finance Limited	45.70000
500207	Indo Rama Synthetics (India) L	1518.22242
500208	Indu Nissan Oxo-Chemical Indus	165.00000
500209	Infosys Ltd	22969.44664
500210	Ingersoll-Rand (India) Ltd.	315.68000
500211	Insilco Ltd	627.15000
500212	Integrated Financial Services 	60.00000
500213	International Travel House Ltd	79.94500
500214	Ion Exchange (India) Ltd	146.66659
500215	Agro Tech Foods Ltd	243.69264
500218	J.K.Pharmachem Ltd.	626.84919
500219	Jain Irrigation Systems Ltd.	4601.66053
500220	Jasch Industries Ltd.	113.30000
