ScripCode,Scrip ID,Scrip Group,ScripName,Close Price,Daily Upper Value,Daily Lower Value,Weekly Upper Value,Weekly Lower Value,Monthly Upper Value,Monthly Lower Value,Quarterly Upper Value,Quarterly Lower Value,Yearly Upper Value,Yearly Lower Value,Final Upper Value,Final Lower Value,Filler1,Filler2,Filler3,Filler4,Filler5
500009,AMBALALSA,XT,AMBALAL SARABHAI ENTERPRISES L,899,943,855,0,0,0,0,2395,494,3508,1,943,855,,,,,
500012,ANDHRAPET,XC,ANDHRA PETROCHEMICALS LTD.,2635,3160,2110,0,0,0,0,8500,5,8140,5,3160,2110,,,,,
500014,APPLEFIN,XT,APPLE FINANCE LTD.,408,428,388,0,0,0,0,908,1,1158,1,428,388,,,,,
500028,ATVPR,XT,ATV PROJECTS INDIA LTD.,660,693,627,0,0,0,0,1164,240,1525,1,693,627,,,,,
500058,BIHSPONG,XT,BIHAR SPONGE IRON LTD.,195,204,186,0,0,0,0,434,90,556,1,204,186,,,,,
500068,DISAQ,XC,DISA INDIA LTD.,494500,543950,445050,0,0,0,0,1169880,5,2546760,5,543950,445050,,,,,
500069,BNKCAP,XD,BNK CAPITAL MARKETS LTD.,7445,7815,7075,0,0,0,0,10270,5,18385,5,7815,7075,,,,,
500078,CAMPHOR,XC,CAMPHOR & ALLIED PRODUCTS LTD.,78790,94545,63035,0,0,0,0,242550,5,413055,5,94545,63035,,,,,
500120,DIAMINESQ,XD,DIAMINES & CHEMICALS LTD.,7605,9125,6085,0,0,0,0,18485,5,23605,5,9125,6085,,,,,
500132,EMPEESUG,XT,EMPEE SUGARS & CHEMICALS LTD.,587,616,558,0,0,0,0,1987,1,3416,1,616,558,,,,,
500141,FERROALL,XT,FERRO ALLOYS CORPORATION LTD.,1058,1110,1006,0,0,0,0,1804,372,2383,1,1110,1006,,,,,
500142,FGP,XT,FGP LTD.,219,229,209,0,0,0,0,306,64,463,1,229,209,,,,,
500143,PHCAP,XD,PH CAPITAL LTD.,2755,2890,2620,0,0,0,0,5535,1145,5450,5,2890,2620,,,,,
500147,CMIFPE,XT,CMI FPE LTD.,59265,62225,56305,0,0,0,0,113545,23415,204540,5,62225,56305,,,,,
500153,GANESHBE,XC,GANESH BENZOPLAST LTD.,3885,4660,3110,0,0,0,0,11890,5,21130,5,4660,3110,,,,,
500159,METROGLOBL,XC,METROGLOBAL LIMITED,7690,9225,6155,0,0,0,0,28555,5,39875,5,9225,6155,,,,,
500166,GOODRICKE,XC,GOODRICKE GROUP LTD.,23710,28450,18970,0,0,0,0,90945,5,102295,5,28450,18970,,,,,
500192,PRAGBOS,XT,PRAG BOSIMI SYNTHETICS LTD.,477,500,454,0,0,0,0,630,130,856,1,500,454,,,,,
500206,MARGOFIN,XT,MARGO FINANCE LIMITED,1130,1186,1074,0,0,0,0,2999,619,2781,1,1186,1074,,,,,
500211,INSILCO,XT,INSILCO LTD.,2355,2470,2240,0,0,0,0,5090,1050,5270,5,2470,2240,,,,,
500212,IFSL,XT,INTEGRATED FINANCIAL SERVICES ,2250,2360,2140,0,0,0,0,4315,890,6500,5,2360,2140,,,,,
500213,ITHL,XC,INTERNATIONAL TRAVEL HOUSE LTD,22205,26645,17765,0,0,0,0,65330,5,108605,5,26645,17765,,,,,
500214,IONEXCHANG,XT,ION EXCHANGE (INDIA) LTD.,44100,46305,41895,0,0,0,0,75415,15550,67535,5,46305,41895,,,,,
500220,JASCH,XD,JASCH INDUSTRIES LTD.,6475,7770,5180,0,0,0,0,23960,5,23605,5,7770,5180,,,,,
500223,JCTLTD,XC,JCT LTD.,425,510,340,0,0,0,0,1666,1,3057,1,510,340,,,,,
500239,KGDENIM,XC,KG DENIM LTD.,7700,9240,6160,0,0,0,0,30225,5,46590,5,9240,6160,,,,,
500240,KINETICENG,XC,KINETIC ENGINEERING LTD.,8640,10365,6915,0,0,0,0,25365,5,42485,5,10365,6915,,,,,
500246,ENVAIREL,XD,ENVAIR ELECTRODYNE LTD.,3990,4385,3595,0,0,0,0,8630,5,6140,5,4385,3595,,,,,
500264,MAFATIND,XC,MAFATLAL INDUSTRIES LTD.,26010,31210,20810,0,0,0,0,83550,5,174270,5,31210,20810,,,,,
500267,MAJESAUT,XC,MAJESTIC AUTO LTD.,10095,12110,8080,0,0,0,0,36470,5,60000,5,12110,8080,,,,,
500277,MIDINDIA,XT,MID INDIA INDUSTRIES LTD.,67,70,64,0,0,0,0,131,28,309,1,70,64,,,,,
500284,LORDSCHLO,XT,LORDS CHLORO ALKALI LTD.,3370,3535,3205,0,0,0,0,6000,1240,10550,5,3535,3205,,,,,
500298,NATPEROX,XC,NATIONAL PEROXIDE LTD.,123500,148200,98800,0,0,0,0,327400,5,432480,5,148200,98800,,,,,
500306,JAYKAY,XD,JAYKAY ENTERPRISES LTD.,954,1049,859,0,0,0,0,2872,1,2284,1,1049,859,,,,,
500319,INDSUCR,XT,INDIAN SUCROSE LTD.,4000,4200,3800,0,0,0,0,7370,1520,4000,5,4000,3800,,,,,
500322,PANCM,XT,PANYAM CEMENTS & MINERAL INDUS,7365,7730,7000,0,0,0,0,15510,3200,31330,5,7730,7000,,,,,
500329,PENTAGRAPH,XD,PENTAMEDIA GRAPHICS LTD.,60,72,48,0,0,0,0,200,1,402,1,72,48,,,,,
500333,PIXTRANS,XD,PIX TRANSMISSIONS LTD.,13635,16360,10910,0,0,0,0,44070,5,27470,5,16360,10910,,,,,
500346,PUNJCOMMU,XT,PUNJAB COMMUNICATIONS LTD.,4510,4735,4285,0,0,0,0,14310,5,19580,5,4735,4285,,,,,
500357,RAMAPPR-B,XD,RAMA PAPER MILLS LTD.,1395,1460,1330,0,0,0,0,2800,580,6880,5,1460,1330,,,,,
500360,RAPICUT,XD,RAPICUT CARBIDES LTD.,7560,9070,6050,0,0,0,0,27885,5,34595,5,9070,6050,,,,,
500365,RMGALLOY,XT,RMG ALLOY STEEL LIMITED,411,431,391,0,0,0,0,1074,1,2703,1,431,391,,,,,
500367,RUBFILA,XC,RUBFILA INTERNATIONAL LTD.,5400,6480,4320,0,0,0,0,16865,5,18845,5,6480,4320,,,,,
500371,SAMTELIN,XT,SAMTEL INDIA LTD.,340,357,323,0,0,0,0,737,152,1254,1,357,323,,,,,
500388,SKPMIL,XT,SHREE KRISHNA PAPER MILLS & IN,2390,2505,2275,0,0,0,0,4635,960,2390,5,2390,2275,,,,,
500394,SOLCT,XD,SOLID CARBIDE TOOLS LTD.,90,94,86,0,0,0,0,184,38,146,1,94,86,,,,,
500399,STEELCO,XD,STEELCO GUJARAT LTD.,1030,1081,979,0,0,0,0,1815,1,3155,1,1081,979,,,,,
500414,TIMEX,XT,TIMEX GROUP INDIA LTD.,4495,4715,4275,0,0,0,0,16800,5,26355,5,4715,4275,,,,,
500421,TPINDIA,XT,TPI INDIA LTD.,607,637,577,0,0,0,0,624,1,1017,1,624,577,,,,,
500422,TRANSCHEM,XT,TRANSCHEM LTD.,2740,2790,2690,0,0,0,0,4355,900,5655,5,2790,2690,,,,,
500426,UTLINDS,XT,UTL INDUSTRIES LIMITED,553,580,526,0,0,0,0,1022,211,1354,1,580,526,,,,,
500450,MPILCORPL,XT,MPIL CORPORATION LTD.,10585,11110,10060,0,0,0,0,12830,2650,10585,5,10585,10060,,,,,
500456,PASUPTAC,XC,PASUPATI ACRYLON LTD.,2360,2830,1890,0,0,0,0,7480,5,17705,5,2830,1890,,,,,
500458,KORE,XT,Kore Foods Limited,342,359,325,0,0,0,0,479,99,524,1,359,325,,,,,
500655,GARWARPOLY,XC,GARWARE POLYESTER LTD.,12175,14610,9740,0,0,0,0,41215,5,68625,5,14610,9740,,,,,
501110,SUNRINV,XT,SUNRISE INDUSTRIAL TRADERS LTD,552,579,525,0,0,0,0,1070,221,1346,1,579,525,,,,,
501144,PEOPLIN,P,PEOPLES INVESTMENTS LTD.,1100,1155,1045,0,0,0,0,2134,440,2684,1,1155,1045,,,,,
501148,DSINVEST,XT,DALAL STREET INVESTMENTS LTD.,9620,9810,9430,0,0,0,0,17875,7630,24585,6340,9810,9430,,,,,
501150,CENTRUM,XC,CENTRUM CAPITAL LTD.,4530,5435,3625,0,0,0,0,11670,5,16075,5,5435,3625,,,,,
501151,KARTKIN,P,KARTIK INVESTMENTS TRUST LTD.,28015,29415,26615,0,0,0,0,54345,11210,68355,5,29415,26615,,,,,
501154,ROSEI,P,ROSE INVESTMENTS LTD.,634,646,622,0,0,0,0,1039,444,1229,317,646,622,,,,,
501179,OSCAR,XC,OSCAR INVESTMENTS LTD.,34355,37790,30920,0,0,0,0,77550,5,108800,5,37790,30920,,,,,
501261,KRATOSENER,P,KRATOS ENERGY & INFRASTRUCTURE,21350,21775,20925,0,0,0,0,35010,14945,41415,10675,21775,20925,,,,,
501270,ZCHANAIN,XT,CHANAKYA INVESTMENTS LTD.,113,115,111,0,0,0,0,185,80,219,57,115,111,,,,,
501298,INDPRUD,XC,INDUSTRIAL & PRUDENTIAL INVEST,121360,145630,97090,0,0,0,0,434580,5,623395,5,145630,97090,,,,,
501351,RAPIDIN,XT,RAPID INVESTMENTS LTD.,2205,2245,2165,0,0,0,0,3615,1545,4275,1105,2245,2165,,,,,
501370,WALCHPF,XD,WALCHAND PEOPLEFIRST LTD.,13190,15825,10555,0,0,0,0,51435,5,75070,5,15825,10555,,,,,
501386,ZSWASTSA,P,SWASTIK SAFE DEPOSIT & INVESTM,461,484,438,0,0,0,0,894,185,1124,1,484,438,,,,,
501391,WHBRADY,XD,W.H.BRADY & CO.LTD.,15990,17585,14395,0,0,0,0,35625,5,76975,5,17585,14395,,,,,
501421,TECHNVISN,XT,TECHNVISION VENTURES LTD.,18705,19640,17770,0,0,0,0,39110,8065,22445,5,19640,17770,,,,,
501423,SHAILY,XC,SHAILY ENGINEERING PLASTICS LT,64140,70550,57730,0,0,0,0,117620,5,211765,5,70550,57730,,,,,
501430,BOMBCYC,XD,BOMBAY CYCLE & MOTOR AGENCY LT,155300,163065,147535,0,0,0,0,297790,61400,342440,5,163065,147535,,,,,
501471,MACK,XT,MACK TRADING CO.LTD.,7320,7465,7175,0,0,0,0,12000,5125,14200,3660,7465,7175,,,,,
