MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,      9360.55,      9384.05,      9523.30,      9379.20,      9509.75,351280718832.60,1758456434,Y, ,10664615,      9532.60,      7893.80
Y, , ,Nifty IT,     10509.20,     10568.15,     10761.05,     10546.90,     10738.35,0,0,Y, ,0,     11586.20,      9295.25
Y, , ,Nifty Next 50,     25149.45,     25255.55,     25489.55,     25125.60,     25407.70,0,0,Y, ,0,     27031.65,     19223.80
Y, , ,Nifty Bank,     22536.30,     22573.65,     23267.80,     22570.35,     23190.80,0,0,Y, ,0,     23267.80,     16946.35
Y, , ,Nifty MID100 Free,     17120.55,     17196.20,     17398.70,     17106.75,     17345.35,0,0,Y, ,0,     18511.55,     12921.05
Y, , ,Nifty 500,      8106.60,      8130.70,      8240.95,      8119.15,      8233.90,0,0,Y, ,0,      8404.10,      6630.55
Y, , ,Nifty 100,      9631.20,      9657.90,      9787.05,      9646.00,      9776.15,0,0,Y, ,0,      9882.75,      8025.15
Y, , ,Nifty Midcap 50,      4332.15,      4351.65,      4433.40,      4330.05,      4415.20,0,0,Y, ,0,      4734.45,      3236.40
Y, , ,Nifty Realty,       249.45,       251.45,       255.25,       249.90,       254.70,0,0,Y, ,0,       276.40,       151.60
Y, , ,Nifty Infra,      3141.95,      3153.80,      3213.10,      3133.55,      3207.05,0,0,Y, ,0,      3313.90,      2584.65
Y, , ,Nifty Energy,     11546.35,     11578.45,     11653.60,     11535.40,     11627.55,0,0,Y, ,0,     12497.30,      8280.05
Y, , ,Nifty FMCG,     24986.50,     25030.40,     25223.85,     24818.40,     25056.65,0,0,Y, ,0,     25279.90,     19457.25
Y, , ,Nifty MNC,     11477.05,     11504.05,     11643.10,     11457.55,     11624.60,0,0,Y, ,0,     11832.20,      9004.35
Y, , ,Nifty Pharma,      9446.95,      9421.80,      9434.10,      9082.85,      9199.15,0,0,Y, ,0,     12042.70,      9082.85
Y, , ,Nifty PSE,      3993.40,      4012.95,      4034.00,      3985.35,      4022.60,0,0,Y, ,0,      4304.85,      2956.10
Y, , ,Nifty PSU Bank,      3467.45,      3481.50,      3566.45,      3473.25,      3558.55,0,0,Y, ,0,      3921.45,      2271.45
Y, , ,Nifty Serv Sector,     12147.20,     12188.55,     12431.90,     12184.35,     12409.60,0,0,Y, ,0,     12431.90,     10046.40
Y, , ,India VIX,11.8300,11.8300,11.9200,10.1925,10.4475,0,0,Y, ,0,23.0925,8.8350
Y, , ,Nifty Auto,     10386.30,     10413.35,     10605.85,     10377.15,     10588.10,0,0,Y, ,0,     10679.55,      8306.30
Y, , ,Nifty Metal,      2848.10,      2861.95,      2908.45,      2843.60,      2899.80,0,0,Y, ,0,      3233.70,      1945.85
Y, , ,Nifty Media,      3022.60,      3020.60,      3055.20,      2994.55,      3034.95,0,0,Y, ,0,      3297.05,      2474.70
Y, , ,Nifty SML100 Free,      6933.85,      6973.85,      7150.75,      6960.30,      7136.50,0,0,Y, ,0,      7678.75,      5185.60
Y, , ,Nifty 200,      5026.65,      5041.70,      5108.10,      5034.35,      5103.05,0,0,Y, ,0,      5188.25,      4149.10
Y, , ,Nifty Div Opps 50,      2369.75,      2379.40,      2403.80,      2373.80,      2401.00,0,0,Y, ,0,      2431.25,      1859.90
Y, , ,Nifty Commodities,      3401.45,      3411.85,      3453.20,      3395.00,      3442.65,0,0,Y, ,0,      3613.45,      2530.35
Y, , ,Nifty Consumption,      4163.30,      4170.15,      4210.80,      4161.90,      4203.45,0,0,Y, ,0,      4275.90,      3371.05
Y, , ,Nifty Fin Service,      9143.70,      9162.15,      9370.55,      9159.60,      9348.75,0,0,Y, ,0,      9370.55,      6924.65
Y, , ,Nifty50 Div Point,         3.34,         3.34,         3.34,         3.34,         3.34,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100 Liq 15,      3931.25,      3947.75,      4010.55,      3924.50,      4003.65,0,0,Y, ,0,      4101.75,      3034.70
Y, , ,Nifty CPSE,      2572.10,      2586.55,      2595.00,      2571.45,      2589.15,0,0,Y, ,0,      2768.45,      1858.00
Y, , ,Nifty GrowSect 15,      5784.35,      5778.35,      5820.55,      5736.95,      5810.00,0,0,Y, ,0,      5914.00,      4852.45
Y, , ,Nifty50 PR 2x Lev,      3796.20,      3814.55,      3927.05,      3810.70,      3916.55,0,0,Y, ,0,      3941.95,      2777.65
Y, , ,Nifty50 PR 1x Inv,       445.75,       444.75,       444.95,       438.10,       438.75,0,0,Y, ,0,       517.40,       437.30
Y, , ,Nifty50 TR 2x Lev,      4584.85,      4607.05,      4742.95,      4602.40,      4730.20,0,0,Y, ,0,      4759.95,      3335.35
Y, , ,Nifty50 TR 1x Inv,       405.60,       404.65,       404.85,       398.65,       399.20,0,0,Y, ,0,       472.15,       397.95
Y, , ,Nifty50 Value 20,      4020.90,      4033.90,      4102.70,      4031.30,      4096.30,0,0,Y, ,0,      4102.70,      3432.90
Y, , ,Nifty Mid Liq 15,      3720.60,      3736.30,      3813.90,      3724.10,      3796.50,0,0,Y, ,0,      4019.20,      2665.10
Y, , ,Nifty Pvt Bank,     12492.80,     12513.30,     12894.20,     12510.35,     12855.15,0,0,Y, ,0,     12894.20,      9558.05
Y, , ,Nifty Quality 30,      2279.50,      2285.50,      2304.90,      2277.50,      2301.15,0,0,Y, ,0,      2322.60,      1996.90
Y, , ,Nifty GS 8 13Yr,      1695.91,      1696.24,      1700.17,      1696.24,      1698.95,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 10Yr,      1614.70,      1615.01,      1618.57,      1615.01,      1617.29,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 10Yr Cln,       978.55,       978.55,       980.71,       978.55,       979.94,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 4 8Yr,      1746.13,      1746.48,      1749.03,      1746.48,      1748.24,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 11 15Yr,      1767.22,      1767.57,      1772.25,      1767.57,      1771.16,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 15YrPlus,      1853.17,      1853.55,      1858.25,      1853.55,      1858.25,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS Compsite,      1729.10,      1729.44,      1732.44,      1729.44,      1731.44,0,0,Y, ,0,          .00,          .00
 , , , , , , , , , , ,Y, , , , 
 , , , , , , , , , , ,Y, , , , 
 , , ,NIFTY 50 Sec, , , , , , , ,Y, , , , 
N,EQ,ACC,ACC LIMITED,      1582.95,      1580.00,      1633.00,      1571.40,      1619.70,                881730000.00,547632,Y, ,23893,      1756.70,      1256.55
N,EQ,ADANIPORTS,ADANI PORT & SEZ LTD,       339.65,       344.90,       346.25,       331.30,       340.75,               2032861963.30,5992900,Y, ,57622,       362.55,       177.10
N,EQ,AMBUJACEM,AMBUJA CEMENTS LTD,       235.30,       235.30,       241.90,       233.15,       240.05,                456753777.95,1912885,Y, ,32254,       281.70,       191.00
N,EQ,ASIANPAINT,ASIAN PAINTS LIMITED,      1091.20,      1095.55,      1125.00,      1090.05,      1113.20,               1353073003.65,1226634,Y, ,25147,      1227.30,       851.10
N,EQ,AUROPHARMA,AUROBINDO PHARMA LTD,       526.20,       526.00,       531.50,       515.80,       525.55,               2626949805.25,5009819,Y, ,75566,       895.00,       515.80
N,EQ,AXISBANK,AXIS BANK LIMITED,       499.30,       502.00,       509.90,       495.85,       507.45,               4619022578.05,9157557,Y, ,106201,       638.30,       424.40
