DR,021/1718,02-May-2017,02-May-2017,04-May-2017,04-May-2017,04-May-2017,04-May-2017,03-May-2017,
RA,021/1718,04-May-2017,04-May-2017,05-May-2017,05-May-2017,05-May-2017,05-May-2017,04-May-2017,
DR,022/1718,03-May-2017,03-May-2017,05-May-2017,05-May-2017,05-May-2017,05-May-2017,04-May-2017,
RA,022/1718,05-May-2017,05-May-2017,08-May-2017,08-May-2017,08-May-2017,08-May-2017,05-May-2017,
DR,023/1718,04-May-2017,04-May-2017,08-May-2017,08-May-2017,08-May-2017,08-May-2017,05-May-2017,
RA,023/1718,08-May-2017,08-May-2017,09-May-2017,09-May-2017,09-May-2017,09-May-2017,08-May-2017,
DR,024/1718,05-May-2017,05-May-2017,09-May-2017,09-May-2017,09-May-2017,09-May-2017,08-May-2017,
RA,024/1718,09-May-2017,09-May-2017,11-May-2017,11-May-2017,11-May-2017,11-May-2017,09-May-2017,
DR,025/1718,08-May-2017,08-May-2017,11-May-2017,11-May-2017,11-May-2017,11-May-2017,09-May-2017,
RA,025/1718,11-May-2017,11-May-2017,12-May-2017,12-May-2017,12-May-2017,12-May-2017,11-May-2017,
DR,026/1718,09-May-2017,09-May-2017,12-May-2017,12-May-2017,12-May-2017,12-May-2017,11-May-2017,
RA,026/1718,12-May-2017,12-May-2017,15-May-2017,15-May-2017,15-May-2017,15-May-2017,12-May-2017,
DR,027/1718,10-May-2017,10-May-2017,12-May-2017,12-May-2017,12-May-2017,12-May-2017,11-May-2017,027/1718
RA,027/1718,15-May-2017,15-May-2017,16-May-2017,16-May-2017,16-May-2017,16-May-2017,15-May-2017,027/1718
DR,028/1718,11-May-2017,11-May-2017,15-May-2017,15-May-2017,15-May-2017,15-May-2017,12-May-2017,
RA,028/1718,15-May-2017,15-May-2017,16-May-2017,16-May-2017,16-May-2017,16-May-2017,15-May-2017,
DR,029/1718,12-May-2017,12-May-2017,16-May-2017,16-May-2017,16-May-2017,16-May-2017,15-May-2017,
RA,029/1718,16-May-2017,16-May-2017,17-May-2017,17-May-2017,17-May-2017,17-May-2017,16-May-2017,
DR,030/1718,15-May-2017,15-May-2017,17-May-2017,17-May-2017,17-May-2017,17-May-2017,16-May-2017,
RA,030/1718,17-May-2017,17-May-2017,18-May-2017,18-May-2017,18-May-2017,18-May-2017,17-May-2017,
DR,031/1718,16-May-2017,16-May-2017,18-May-2017,18-May-2017,18-May-2017,18-May-2017,17-May-2017,
RA,031/1718,18-May-2017,18-May-2017,19-May-2017,19-May-2017,19-May-2017,19-May-2017,18-May-2017,
DR,032/1718,17-May-2017,17-May-2017,19-May-2017,19-May-2017,19-May-2017,19-May-2017,18-May-2017,
RA,032/1718,19-May-2017,19-May-2017,22-May-2017,22-May-2017,22-May-2017,22-May-2017,19-May-2017,
DR,033/1718,18-May-2017,18-May-2017,22-May-2017,22-May-2017,22-May-2017,22-May-2017,19-May-2017,
RA,033/1718,22-May-2017,22-May-2017,23-May-2017,23-May-2017,23-May-2017,23-May-2017,22-May-2017,
DR,034/1718,19-May-2017,19-May-2017,23-May-2017,23-May-2017,23-May-2017,23-May-2017,22-May-2017,
RA,034/1718,23-May-2017,23-May-2017,24-May-2017,24-May-2017,24-May-2017,24-May-2017,23-May-2017,
DR,035/1718,22-May-2017,22-May-2017,24-May-2017,24-May-2017,24-May-2017,24-May-2017,23-May-2017,
RA,035/1718,24-May-2017,24-May-2017,25-May-2017,25-May-2017,25-May-2017,25-May-2017,24-May-2017,
DR,036/1718,23-May-2017,23-May-2017,25-May-2017,25-May-2017,25-May-2017,25-May-2017,24-May-2017,
RA,036/1718,25-May-2017,25-May-2017,26-May-2017,26-May-2017,26-May-2017,26-May-2017,25-May-2017,
DR,037/1718,24-May-2017,24-May-2017,26-May-2017,26-May-2017,26-May-2017,26-May-2017,25-May-2017,
RA,037/1718,26-May-2017,26-May-2017,29-May-2017,29-May-2017,29-May-2017,29-May-2017,26-May-2017,
DR,038/1718,25-May-2017,25-May-2017,29-May-2017,29-May-2017,29-May-2017,29-May-2017,26-May-2017,
RA,038/1718,29-May-2017,29-May-2017,30-May-2017,30-May-2017,30-May-2017,30-May-2017,29-May-2017,
DR,039/1718,26-May-2017,26-May-2017,30-May-2017,30-May-2017,30-May-2017,30-May-2017,29-May-2017,
RA,039/1718,30-May-2017,30-May-2017,31-May-2017,31-May-2017,31-May-2017,31-May-2017,30-May-2017,
DR,040/1718,29-May-2017,29-May-2017,31-May-2017,31-May-2017,31-May-2017,31-May-2017,30-May-2017,
RA,040/1718,31-May-2017,31-May-2017,01-Jun-2017,01-Jun-2017,01-Jun-2017,01-Jun-2017,31-May-2017,
DR,041/1718,30-May-2017,30-May-2017,01-Jun-2017,01-Jun-2017,01-Jun-2017,01-Jun-2017,31-May-2017,
RA,041/1718,01-Jun-2017,01-Jun-2017,02-Jun-2017,02-Jun-2017,02-Jun-2017,02-Jun-2017,01-Jun-2017,
DR,042/1718,31-May-2017,31-May-2017,02-Jun-2017,02-Jun-2017,02-Jun-2017,02-Jun-2017,01-Jun-2017,
RA,042/1718,02-Jun-2017,02-Jun-2017,05-Jun-2017,05-Jun-2017,05-Jun-2017,05-Jun-2017,02-Jun-2017,
