Symbol,Series,Extreme Loss Margin (May 2017)
20MICRONS,EQ,5.07
21STCENMGM,EQ,5
3IINFOTECH,EQ,5
3MINDIA,EQ,5
63MOONS,EQ,5
8KMILES,EQ,5
A2ZINFRA,EQ,5.24
AARTIDRUGS,EQ,5
AARTIIND,EQ,5
AARVEEDEN,EQ,5
ABAN,EQ,5
ABB,EQ,5
ABBOTINDIA,EQ,5
ABFRL,EQ,5
ABGSHIP,EQ,5
ABHISHEK,EQ,5
ABIRLANUVO,EQ,5
ABMINTLTD,EQ,24.06
ACC,EQ,5
ACCELYA,EQ,5
ACE,EQ,5
ACELAB,EQ,5
ACROPETAL,EQ,5
ADANIENT,EQ,5.46
ADANIPORTS,EQ,5
ADANIPOWER,EQ,5
ADANITRANS,EQ,5.63
ADARSHCHEM,EQ,5
ADFFOODS,EQ,5
ADHUNIK,EQ,5
ADHUNIKIND,EQ,5
ADITYASPIN,EQ,5
ADLABS,EQ,5
ADORWELD,EQ,5
ADSL,EQ,5
ADVANIHOTR,EQ,5
ADVENZYMES,EQ,5
AEC,EQ,5
AEGISCHEM,EQ,5
AFL,EQ,5
AFTEK,EQ,5
AGARIND,EQ,5
AGCNET,EQ,5.13
AGRIHATCH,EQ,5
AGRITECH,EQ,5.24
AGRODUTCH,EQ,5
AHLEAST,EQ,5
AHLUCONT,EQ,5
AHLWEST,EQ,5
AIAENG,EQ,5
AICHAMP,EQ,5
AIFL,EQ,5
AIMCOPEST,EQ,5
AJANTPHARM,EQ,5
AJMERA,EQ,5
AKAIMPEX,EQ,5
AKARLAMIN,EQ,5
AKGACOUST,EQ,5
AKSHARCHEM,EQ,5
AKSHOPTFBR,EQ,5
AKZOINDIA,EQ,5
ALANKIT,EQ,5.72
ALBERTDAVD,EQ,5
ALBK,EQ,5
ALBRMORARJ,EQ,5
ALCHEM,EQ,5.16
ALEMBICLTD,EQ,5
ALFREDHERB,EQ,5
ALIANCREDT,EQ,5
ALICON,EQ,5
ALKALI,EQ,5.53
ALKEM,EQ,5
ALKYLAMINE,EQ,5
