1180213580,513,
P,61,45585,49743
P,63,45585,49743
P,61,49743,63283
P,63,49743,63283
P,63,45586,49744
P,63,49744,63284
P,63,45587,49747
P,63,49747,64076
P,63,45620,49748
P,63,49748,64125
P,63,45621,49749
P,63,49749,64126
P,63,45661,49750
P,63,49750,64127
P,63,45679,49753
P,63,49753,64136
P,63,45680,49754
P,63,49754,64145
P,63,45681,49763
P,63,49763,64146
P,63,45682,49764
P,63,49764,64147
P,63,49769,64148
P,63,45755,49770
P,63,49770,64157
P,63,45756,49773
P,63,49773,64158
P,63,45758,49774
P,63,49774,64165
P,63,45759,49775
P,63,49775,64166
P,61,49776,64167
P,63,49776,64167
P,61,45773,49777
P,63,45773,49777
P,61,49777,64168
P,63,49777,64168
P,63,45782,49778
P,63,49778,64177
P,63,49790,49818
P,63,49818,64201
P,61,45783,49819
P,63,45783,49819
P,61,49819,64202
P,63,49819,64202
P,63,49830,49831
P,63,49831,64214
P,63,49833,49920
P,63,49920,64215
P,63,45786,49921
P,63,49921,64216
P,63,45787,50132
P,63,50132,64255
P,51,45578,49732
P,51,45578,62728
P,51,49732,62728
P,63,45788,50133
P,63,50133,64256
P,63,45789,50139
P,63,50139,64269
P,63,45801,50140
P,63,50140,64305
P,63,50145,50146
P,63,50146,64306
P,61,45802,50169
P,63,45802,50169
P,61,50169,64307
P,63,50169,64307
P,63,45803,50170
P,63,50170,64308
P,63,45804,50179
P,63,50179,64326
P,63,45810,50180
P,63,50180,64327
P,63,45811,50185
P,63,50185,64328
P,63,45840,50186
P,63,50186,64329
P,63,45845,50212
P,63,50212,64330
P,63,45846,50213
P,63,50213,64331
P,73,45847,50249
P,73,50249,64332
P,73,45855,50285
P,73,50285,64333
P,73,50299,50300
P,73,50300,64334
P,73,45858,50309
P,73,50309,64335
P,73,45859,50310
P,73,50310,64336
P,73,45860,50315
P,73,50315,64337
P,73,45861,50316
P,73,50316,64340
P,73,45862,50318
P,73,50318,64341
P,73,45863,50319
P,73,50319,64342
P,73,50330,50331
P,73,50331,64343
P,73,45868,50332
P,73,50332,64344
P,73,45869,50335
P,73,50335,64345
P,73,45870,50336
P,73,50336,64346
P,73,45871,50337
P,73,50337,64347
P,73,45875,50338
P,73,50338,64348
P,73,45876,50341
P,73,50341,64349
P,73,46001,50342
P,73,50342,64350
P,73,46006,50345
P,73,50345,64351
P,73,46017,50346
P,73,50346,64352
P,73,46018,50347
P,73,50347,64353
P,73,50348,64354
P,22,35022,35018
P,24,35022,35018
P,22,35022,37728
P,24,35022,37728
P,22,35087,35075
P,24,35087,35075
P,22,36400,35087
P,24,36400,35087
P,22,37728,35018
P,24,37728,35018
P,73,46020,50357
P,73,50357,64355
P,71,46029,50358
P,73,46029,50358
P,71,50358,64356
P,73,50358,64356
P,71,46030,50363
P,73,46030,50363
P,71,50363,64357
P,73,50363,64357
P,73,46031,50364
P,73,50364,64358
P,73,46040,50424
P,73,50424,64359
P,73,46051,50425
P,73,50425,64360
P,73,46052,50430
P,73,50430,64361
P,73,46053,50431
P,73,50431,64362
P,73,50436,50452
P,73,50452,64363
P,24,35109,35107
P,24,40912,46099
P,24,40912,48478
P,24,46099,48478
P,24,47411,35109
P,73,46054,50453
P,73,50453,64364
P,73,46057,50454
P,73,50454,64365
P,73,46058,50457
P,73,50457,64366
P,73,50459,50461
P,73,50461,64367
P,73,46064,50467
P,73,50467,64368
P,73,46065,50468
P,73,50468,64369
P,73,46071,50469
P,73,50469,64370
P,71,46072,50470
P,73,46072,50470
P,71,50470,64371
P,73,50470,64371
P,73,50474,50475
P,73,50475,64372
P,73,46079,50476
P,73,50476,64373
P,73,64374,64375
P,73,64375,64376
P,73,46080,50486
P,73,50486,64427
P,71,46085,50487
P,73,46085,50487
P,71,50487,64428
P,73,50487,64428
P,71,46086,50488
P,73,46086,50488
P,71,50488,64431
P,73,50488,64431
P,73,46089,50489
P,73,50489,64432
P,73,46090,50498
P,73,50498,64433
P,73,46091,50499
