UNDERLYING_NAME,MWPL (May2017)
ABIRLANUVO,9700549
ACC,17078428
ADANIENT,55169320
ADANIPORTS,160280176
ADANIPOWER,246190275
AJANTPHARM,4614298
ALBK,44762154
AMARAJABAT,16377009
AMBUJACEM,143342275
ANDHRABANK,47000000
APOLLOHOSP,18266320
APOLLOTYRE,56861605
ARVIND,29417062
ASHOKLEY,282405919
ASIANPAINT,90562661
AUROPHARMA,56391295
AXISBANK,319496192
BAJAJ-AUTO,29341807
BAJAJFINSV,13255799
BAJFINANCE,45649904
BALKRISIND,8821317
BALRAMCHIN,27757934
BANKBARODA,187843804
BANKINDIA,51308200
BATAINDIA,12092405
BEL,142117003
BEML,3828900
BERGEPAINT,48568389
BHARATFIN,27134883
BHARATFORG,25258839
BHARTIARTL,262478872
BHEL,180829600
BIOCON,15021836
BOSCHLTD,1801607
BPCL,130353651
BRITANNIA,11825583
CADILAHC,51610474
CANBK,40260000
CANFINHOME,3696332
CAPF,6631293
CASTROLIND,48466996
CEATLTD,3983269
CENTURYTEX,11671128
CESC,13274820
CGPOWER,82082548
CHOLAFIN,14664660
CIPLA,98589426
COALINDIA,262487569
COLPAL,26654592
CONCOR,22032749
CUMMINSIND,27165463
DABUR,112596486
DALMIABHA,5385373
DCBBANK,47832823
DHFL,38020498
DISHTV,75818149
DIVISLAB,25447469
DLF,89379994
DRREDDY,24268577
EICHERMOT,2689613
ENGINERSIN,57929721
EQUITAS,40805274
ESCORTS,13979628
EXIDEIND,91809066
FEDERALBNK,338567910
FORTIS,49387136
GAIL,150861212
GLENMARK,30189856
GMRINFRA,462879205
GODFRYPHLP,2891826
GODREJCP,25020946
GODREJIND,16906211
GRANULES,21290353
GRASIM,64168502
GSFC,49535525
HAVELLS,47907601
HCC,98417669
HCLTECH,115042823
HDFC,317734428
HDFCBANK,309265241
HDIL,55130544
HEROMOTOCO,26106151
HEXAWARE,16822230
HINDALCO,292982918
HINDPETRO,99330300
HINDUNILVR,141987356
HINDZINC,296432938
IBREALEST,47466162
IBULHSGFIN,64092364
ICICIBANK,870234360
ICIL,16210584
IDBI,75388015
IDEA,415296136
IDFC,319188314
IDFCBANK,320369087
IFCI,147807447
IGL,15400016
INDIACEM,43704765
INDIANB,17190000
INDIGO,10206025
INDUSINDBK,88773874
INFIBEAM,2083509
INFRATEL,141688043
INFY,398569790
IOC,414324861
IRB,29963877
ITC,2424467788
JETAIRWAYS,11132543
JINDALSTEL,69724972
JISLJALEQS,63633950
JPASSOCIAT,295108655
JSWENERGY,82022830
JSWSTEEL,279376494
JUBLFOOD,7259257
JUSTDIAL,9294511
KAJARIACER,16723299
KOTAKBANK,250061038
KPIT,30160455
KSCL,6294039
KTKBANK,56521189
L&TFH,117202511
LICHSGFIN,60244101
LT,183068844
LUPIN,48143971
M&M,86248947
M&MFIN,54766800
MARICO,103387377
MARUTI,26458324
MCDOWELL-N,12068662
MCX,10171460
MFSL,37193462
MGL,4938900
MINDTREE,28976363
MOTHERSUMI,103569882
MRF,616034
MRPL,40018232
MUTHOOTFIN,21002335
NATIONALUM,98289278
NBCC,45000000
NCC,89180285
NESTLEIND,7180127
NHPC,523182723
NIITTECH,8502811
NMDC,158552856
NTPC,498941046
OFSS,4411041
OIL,53544167
ONGC,819516934
ORIENTBANK,24507940
PAGEIND,1137517
PCJEWELLER,9961151
PEL,16381551
PETRONET,75000008
PFC,177690002
PIDILITIND,31181859
PNB,148901807
POWERGRID,440550890
PTC,49601664
PVR,7464056
RAMCOCEM,27474244
RAYMOND,6899709
RBLBANK,26230464
RCOM,198636811
RDEL,101950648
RECLTD,162482705
RELCAPITAL,23634866
RELIANCE,337693757
RELINFRA,25723761
RPOWER,138526953
SAIL,206528041
SBIN,592825218
SHREECEM,2453485
SIEMENS,17806068
SINTEX,74942965
SOUTHBANK,360566411
SRF,5468800
SRTRANSFIN,33541942
STAR,12324924
SUNPHARMA,218881086
SUNTV,19704232
SUZLON,792123698
SYNDIBANK,40732856
TATACHEM,35256784
TATACOMM,14253357
TATAELXSI,3448117
TATAGLOBAL,78141987
TATAMOTORS,376938853
TATAMTRDVR,101602124
TATAPOWER,362314608
TATASTEEL,133342619
TCS,105182557
TECHM,124168687
TITAN,83355648
TORNTPHARM,9731600
TORNTPOWER,44634693
TV18BRDCST,135768011
TVSMOTOR,40480865
UBL,13816721
UJJIVAN,8754078
ULTRACEMCO,20774200
UNIONBANK,50266904
UPL,64803665
VEDL,219400031
VGUARD,29582284
VOLTAS,46126252
WIPRO,127314270
WOCKPHARMA,5685685
YESBANK,72868672
ZEEL,109355701
