S.No.,SYMBOL    ,VOL_FRZ_QTY    
1,BANKNIFTY ,2500
2,DJIA      ,2500
3,FTSE100   ,10000
4,NIFTY     ,7500
5,NIFTYCPSE ,15000
6,NIFTYINFRA,15000
7,NIFTYIT   ,7500
8,NIFTYMID50,15000
9,NIFTYPSE  ,15000
10,S&P500    ,15000
11,INDIAVIX  ,15000
12,ABIRLANUVO,28000
13,ACC       ,28000
14,ADANIENT  ,320000
15,ADANIPORTS,125000
16,ADANIPOWER,1000000
17,AJANTPHARM,20000
18,ALBK      ,500000
19,AMARAJABAT,42000
20,AMBUJACEM ,175000
21,ANDHRABANK,500000
22,APOLLOHOSP,35000
23,APOLLOTYRE,180000
24,ARVIND    ,120000
25,ASHOKLEY  ,490000
26,ASIANPAINT,42000
27,AUROPHARMA,56000
28,AXISBANK  ,84000
29,BAJAJ-AUTO,15000
30,BAJAJFINSV,10000
31,BAJFINANCE,35000
32,BALKRISIND,28000
33,BALRAMCHIN,280000
34,BANKBARODA,245000
35,BANKINDIA ,240000
36,BATAINDIA ,77000
37,BEL       ,135000
38,BEML      ,30000
39,BERGEPAINT,176000
40,BHARATFIN ,50000
41,BHARATFORG,42000
42,BHARTIARTL,119000
43,BHEL      ,250000
44,BIOCON    ,42000
45,BOSCHLTD  ,2250
46,BPCL      ,60000
47,BRITANNIA ,14000
48,CADILAHC  ,96000
49,CANBK     ,123360
50,CANFINHOME,17500
51,CAPF      ,56000
52,CASTROLIND,98000
53,CEATLTD   ,28000
54,CENTURYTEX,38500
55,CESC      ,55000
56,CGPOWER   ,600000
57,CHOLAFIN  ,40000
58,CIPLA     ,70000
59,COALINDIA ,136000
60,COLPAL    ,49000
61,CONCOR    ,37500
62,CUMMINSIND,42000
63,DABUR     ,150000
64,DALMIABHA ,21000
65,DCBBANK   ,270000
66,DHFL      ,105000
67,DISHTV    ,420000
68,DIVISLAB  ,48000
69,DLF       ,250000
70,DRREDDY   ,14000
71,EICHERMOT ,2000
72,ENGINERSIN,245000
73,EQUITAS   ,256000
74,ESCORTS   ,77000
75,EXIDEIND  ,200000
76,FEDERALBNK,440000
77,FORTIS    ,189000
78,GAIL      ,100000
79,GLENMARK  ,49000
80,GMRINFRA  ,1800000
81,GODFRYPHLP,30000
82,GODREJCP  ,28000
83,GODREJIND ,90000
84,GRANULES  ,250000
